regex,nl
~(([AEIOUaeiou])&([0-9])&(dog)),"lines without a vowel, number, or string 'dog'"
"(([AEIOUaeiou]){3,}).*(.).*","lines with a vowel, at least 3 times before a character"
(~([0-9]))&(([A-Za-z])*),lines without zero or more of a number and letter
([AEIOUaeiou]).*((.*)(.)).*,Items with a vowel preceding a terminating character.
~(([AEIOUaeiou])&([A-Z])),lines without a vowel and no capital letter
([AEIOUaeiou].*[A-Z].*)(.*),lines which are starting with a vowel followed by a capital letter
((dog)|([AEIOUaeiou])|([A-Z])).*(.).*,"Items with a vowel, 'dog', or an upper case letter preceding a character."
((..*[A-Za-z].*)|(dog))+,lines with a character before a letter or the string 'dog'
((dog)|([0-9]))(.*),lines starting with string 'dog' or number
((dog)(.*)).*(([a-z])*).*,"lines starting with string 'dog' before lower-case letter, zero or more times"
~(([0-9])|((dog)|([A-Z])|(.))),"lines not having a number, the string 'dog', a capital letter and a character"
"((([a-z])|(dog))(.*)){6,}","lines starting with lower-case letter or string 'dog', 6 or more times"
"(~([A-Za-z])).*((.){5,}).*","lines which are not having a letter before a character, 5 or more times"
([0-9]).*(([A-Za-z])&([AEIOUaeiou])&(.)).*,lines with a number before any character
\b((dog)(.*))|(truck)\b,lines with words that start with the word 'dog' or 'truck'
((dog)|((truck)&([a-z])&(.)))*,"lines without the string 'dog', the string 'truck', lower-case letters, or characters"
(dog).*((.)|([A-Za-z])|([AEIOUaeiou])).*,lines with the string 'dog' followed by either a character or a letter
~((.*)(([A-Z])*)),lines not ending in zero or more of a capital letter
([AEIOUaeiou]).*([a-z].*[A-Za-z].*).*,lines with a vowel before lower-case letter then letter
\b([A-Z])&(dog)&([0-9])\b,"lines with words with a capital letter, string 'dog', and number"
\b[0-9].*[A-Za-z].*\b,lines containing words in which a number is followed by a letter
"(([a-z]){6,}).*(.).*",lower-case letter before a character 6 or more times
([A-Z].*[a-z].*).*(dog).*,lines including the string 'dog' and that start with a capital letter and then a lower-case letter
"(([A-Z])|([A-Za-z])){3,}",lines with 3 or more capital letters or letters
(([AEIOUaeiou])|([A-Z])).*([0-9]).*,Items with an upper case letter or vowel preceding a numeral.
\b([A-Za-z])|((dog)+)\b,lines with words an a letter or the string 'dog'
"((.){7,})|(dog.*[a-z].*)",lines with 7 or more characters or the string 'dog' followed by a lower-case letter
(([a-z])&([0-9])&(dog)).*(.).*,"lines with a lower-case letter, number, or string 'dog' before a character"
(\b(.)|(dog)\b)+,lines with words with a character or the string 'dog' at least once in them
(([0-9])&([A-Za-z])).*(.).*,lines with a number and letter before character
"(([A-Za-z]){3,})&(.*dog.*)",lines having at least 3 letters and the string 'dog'
(.*)(([a-z])|((dog)&(truck))),lines ending with a lower-case letter or the string 'dog' and the string 'truck' in them
~((dog.*truck.*)(.*)),lines not starting in string 'dog' with string 'truck'
([AEIOUaeiou]).*((.*[0-9].*)*).*,lines with zero or more of a vowel before number
([AEIOUaeiou]).*(~([A-Z])).*,lines having a vowel before a small letter
(~([0-9])).*(.).*,lines not having number before character
\b([a-z])|([0-9])|(.)\b,"lines with words and a lower-case letter, number, or a character"
(.*)(\b(.)|([0-9])|([a-z])\b),"lines which are ending with words with either a character, a number, or a lower-case letter"
(([A-Z])|(dog)|([a-z])).*([AEIOUaeiou]).*,lines with a capital or lower-case letter or string 'dog' before a vowel
(dog).*((truck)|([AEIOUaeiou])|(ring)).*,"lines with string 'dog' before either string 'truck', a vowel, or string 'ring'"
(([AEIOUaeiou])(.*)).*(~(.)).*,lines that start with a vowel before character
([0-9].*dog.*)&(([a-z])(.*)),lines with a number before the string 'dog' and beginning in lower-case ltter
((dog)&([A-Za-z])&(.)).*(truck).*,"lines with the string 'dog', letter, and character before string 'truck'"
~(\b(.*)(.)\b),lines not being words ending with a character
(~([A-Z]))|(([AEIOUaeiou])*),"lines that do not contain a capital letter or vowel, zero times or more"
"(\b[A-Za-z]\b){5,}",lines with words with only 5 or more letters
"~(([AEIOUaeiou])|(([A-Z]){3,}))",lines with less than 3 of a vowel or capital letter
.*(dog)|([0-9])|([A-Za-z]).*,"lines with the string 'dog', number, or letter"
.*(dog)|([0-9])|([A-Za-z]).*,"lines with either dog, a number, or a letter."
"(.).*((dog){6,}).*",Items with a character preceding 'dog' at least six times.
([0-9]).*(~(dog)).*,lines in which a number doesn't come before the 'dog' string
(\b.*..*\b)*,Items with words containing a character.
~(([A-Z])|([A-Za-z])),lines without a letter
"((.){4,})&(([a-z])|(dog)|(truck))",lines with 4 ore more characters and a lower-case letter or string 'dog' or 'truck'
(\b(dog)&([A-Z])&(truck)\b)+,"lines which are with words with the string 'dog', a capital letter, and the string 'truck' at least once"
.*([A-Z])&([0-9])&([A-Za-z]).*,"lines containing capital letter, a number, and a letter"
\b(.)|(dog.*truck.*)\b,lines with words with a character or string 'dog' followed by string 'truck'
(([A-Za-z])+).*([0-9]).*,lines with a letter before a number
.*([AEIOUaeiou])&([a-z]).*,Lines having a vowel and Lower case letter
".*(([AEIOUaeiou]){3,}).*([A-Z]).*.*",lines that contain a vowel followed by a capital letter at least 3 times
"~(([AEIOUaeiou])|(([A-Z]){2,}))",lines appearing two or more times without a vowel or a capital letter
.*(dog)|([A-Z])|(.).*,"lines which are containing either the string 'dog', a capital letter, or a character"
((dog)&(truck)&([AEIOUaeiou])).*(.).*,lines with string 'dog' and 'truck' and vowel before a character
([a-z]).*(([AEIOUaeiou])|([0-9])).*,lines containing a lower-case letter followed by a vowel or a number
\b((dog)*).*([AEIOUaeiou]).*\b,lines with words and zero or more of the string 'dog' before having a vowel
([A-Z]).*(..*dog.*).*,lines containing an upper-case leter preceding a character prior to the 'dog' string
((dog)|(truck)|([0-9])).*([AEIOUaeiou]).*,"lines containing the strings 'dog' or 'truck', or a vowel that comes after a number"
((.)&([a-z])&([A-Za-z])).*([0-9]).*,Items with any letter or character preceding a numeral.
"((.*)(dog)).*((.){4,}).*",Items terminating with 'dog' preceding a character at least 4 times.
~([AEIOUaeiou].*dog.*),lines without a vowel before the string 'dog'
((.)+).*([AEIOUaeiou]).*,lines with character at least once before vowel
([A-Z].*[A-Za-z].*).*(dog).*,lines containing a capital letter preceding a letter before the string 'dog'
~((dog)&([A-Z])&(.)),"lines with no 'dog', capital letter, or character"
(dog).*((truck)&([a-z])&([0-9])).*,"lines with the string 'dog' before the string 'truck', a lower-case letter, and a number in them"
.*(dog).*([A-Za-z]).*.*,lines containing 'dog' before a letter
.*(dog)&(~(truck)).*,lines containing string 'dog' and not the string 'truck'
((.*)(.)).*(([A-Za-z])*).*,lines which are ending with a vowel followed by a number before a letter
((~(dog))|(.))(.*),lines not starting in the string 'dog' or character
(dog).*([a-z].*[AEIOUaeiou].*).*,lines that contain the string 'dog' followed by a lower-case letter and a vowel
(.*)(((dog)|([A-Z]))+),lines ending in string 'dog' or a capital letter
~((.)|([A-Za-z])|([a-z])),"lines without a character, a letter, or a lower-case letter"
.*(.*)([AEIOUaeiou]).*,lines ending with vowel
\b([0-9])&([a-z])\b,lines having words with a number and a lower-case letter
\b([AEIOUaeiou])&(dog)&(.)\b,"Items with words containing a vowel, 'dog' and a character."
\b(dog)|([A-Za-z])|([AEIOUaeiou])\b,Items with words containing a letter or 'dog'.
~(.*[AEIOUaeiou].*),Lines with no vowels
~(([a-z]).*([0-9]).*),Lines without a lower-case letter before a number
((dog)(.*))&((.*)([A-Z])),lines starting with string 'dog' and ending with capital letter
((.*)(.*[AEIOUaeiou].*))+,lines that end a string that has at least one vowel.
"((dog){6,})|(([AEIOUaeiou])&(truck))",lines with 6 or more of the string 'dog' or a vowel followed by the string 'truck'
.*([A-Za-z])&([AEIOUaeiou])&([0-9]).*,"lines with a letter, a vowel, and a number"
.*[AEIOUaeiou].*..*.*,lines containing a character after a vowel
.*((.)*)|([A-Za-z]).*,"lines containing a character, zero or more times or a letter in them"
"(([a-z]){5,})&(.*dog.*)","lines with lower-case letter, 5 or more times and the string 'dog'"
"(.*)(((dog){6,})|(truck))",lines ending in 6 or more of the string 'dog' or with string 'truck'
\b(.)&([A-Za-z])&([A-Z])\b,"lines containing words which have a character, a letter, and a capital letter"
([a-z]).*(([AEIOUaeiou])|(dog)).*,lines with a lower-case letter before vowel or string 'dog'
([AEIOUaeiou].*dog.*).*([A-Za-z]).*,lines with a vowel followed by string 'dog' before a letter
"(([A-Za-z])|(dog)){5,}",lines containing 5 or more times a letter or the string 'dog'
(.*)(([AEIOUaeiou])|([0-9])),a vowel or number at the end of a line
"(\b(dog)&(truck)\b){5,}",lines containing the string 'dog' and the string 'truck' at least 5 times
(.*)(.*~([A-Za-z]).*),lines not containing a letter
"\b((dog)|(truck)){2,}\b",lines with words having the string 'dog' or 'truck' at least twice
~((..*[0-9].*)*),"lines which are not having a character followed by a number, zero or more times"
(.*)((dog)|(([0-9])*)),lines ending with zero or more strings 'dog' or numbers
"(([0-9]){2,})&(.*dog.*)","lines with number, 2 or more times and containing string 'dog'"
"(([AEIOUaeiou]){2,}).*([0-9]).*",lines with a vowel 2 times before a number
(([A-Z])&(dog)&([a-z])).*([0-9]).*,"lines containing a capital letter, the string 'dog', and a lower-case letter preceding a number"
((dog)|([A-Za-z])).*([A-Z]).*,lines with the string 'dog' or letter before capital letter
((dog)|([0-9])|(truck)).*([A-Z]).*,lines with the string 'dog' or 'truck' or a number before a capital letter
(([0-9])|(dog)|(truck)).*(.).*,lines with a number or string 'dog' or 'truck' before a character
((dog)+)|(.*[A-Z].*),lines containing the string 'dog' at least once or having a capital letter
"\b((dog){3,})(.*)\b","lines with 3 or more words starting with ""dog"""
".*(dog){7,}.*",'dog' in the line 7 times or more
(([a-z])|(.)|(dog)).*(truck).*,"Items with a small letter, a character, or 'dog' preceding 'truck'."
([0-9].*[AEIOUaeiou].*)(.*),lines that start with a number and a vowel
(dog).*(([a-z])&(truck)&([0-9])).*,"The lines with a string 'dog' before the lower-case letter, the number, and the string 'truck'."
\b(.)|([A-Z])|([0-9])\b,"lines containing words that have capital letter, character or number"
~(.*[A-Za-z].*),lines without a letter
(dog).*(([AEIOUaeiou])|([A-Z])|(truck)).*,"lines containing the string 'dog' preceding either a vowel, a capital letter, or the string 'truck'"
(\b([a-z])|(dog)\b)+,lines containing a lower-case letter or the string 'dog' 1 or more times
.*(.)|([A-Za-z])|([a-z]).*,"lines that contain one of the following: a character, a letter, or a lower-case letter"
\b((dog)*).*([a-z]).*\b,lines with words and zero or more of the string 'dog' before a lower case letter
([a-z].*[A-Za-z].*)+,lines with at least one lower-case letter followed by a letter
(([A-Za-z])&([a-z])).*(.).*,lines with a lower-case letter before character
([AEIOUaeiou]).*(dog.*[A-Za-z].*).*,lines with a vowel before string 'dog' then a letter
\b(dog.*[a-z].*)+\b,lines with words and the string 'dog' before a lower-case letter
\b([0-9])|(.*dog.*)\b,lines containing a number or the string 'dog'
~(\b[0-9].*[AEIOUaeiou].*\b),lines without words with a number before vowel
.*(dog)&([A-Za-z]).*,lines containing a letter and 'dog'
"(([AEIOUaeiou]){6,}).*([A-Za-z]).*",lines containing a letter after a vowel 6 or more times
((.*)([AEIOUaeiou])).*([A-Z]).*,lines ending capital letter after a vowel
(dog).*(([a-z])|(truck)|(ring)).*,lines starting with the string 'dog' before a lower-case letter or the strings 'truck' or 'ring'
"\b((.){6,})|([A-Z])\b",lines with words and 6 or more characters or a capital letter
\b~(.)\b,lines with words without only a character
~(([A-Za-z])&([a-z])&([AEIOUaeiou])),"lines not having a letter, a lower-case letter, and not a vowel"
(dog).*([A-Za-z].*[A-Z].*).*,lines with string 'dog' before letter followed by a capital
((dog).*(.).*)&((.*)([A-Z])),lines with the string 'dog' before a character that ends with a capital letter
([A-Za-z]).*((.)&([AEIOUaeiou])).*,lines with a character and vowel after a letter
"(.*)((dog)|(([AEIOUaeiou]){6,}))",lines ending with 6 or more 'dog' or vowels
((dog)+)&(([AEIOUaeiou])|(truck)),lines with the string 'dog' and a vowel or string 'truck'
"((.)|(dog)){4,}",lines with only 4 or more characters or string 'dog'
([a-z]).*(([AEIOUaeiou])&(dog)).*,"lines containing a lower-case letter, followed by a vowel and the string 'dog'"
(([a-z])|(dog)|(.)).*([A-Z]).*,"lines with a lower-case letter, string 'dog', or character before a capital letter"
((dog)|(truck)|([a-z])).*([A-Z]).*,"lines containing either the string 'dog', the string 'truck', or a lower-case letter followed by a capital letter"
((dog)|(truck)|([a-z])).*([A-Z]).*,lines with the string 'dog' or 'truck or a lower case letter before a capital letter
(.*)((dog.*[A-Z].*)|(truck)),lines ending with the string 'dog' preceding a capital letter or the string 'truck'
\b((.*)(dog)).*(truck).*\b,lines with words ending with the string 'dog' before 'truck'
\b(dog)|(([0-9])+)\b,lines that have words and a number or the string 'dog'
\b(dog)|([0-9])|([AEIOUaeiou])\b,"lines with words either the string 'dog', a number, and a vowel"
"(.*..*){7,}","lines containing character, 7 or more times"
~(\b([A-Za-z])&(dog)&([AEIOUaeiou])\b),"lines without words, string 'dog', or vowel with a letter"
"~(((dog){5,})&([a-z]))","lines which are not having the string 'dog', 5 or more times and not a lower-case letter"
.*(([AEIOUaeiou])|([a-z])|([A-Za-z]))&([0-9]).*,"lines that contain a vowel, a lower-case letter, or a letter and a number"
([0-9])(.*),lines that begin with a number
((dog)|([A-Za-z])|([0-9])).*(.).*,"Items with 'dog', a numeral, or a letter preceding a character."
(([a-z])&([A-Z])).*(dog).*,"lines containing the string ""dog"" preceded by a lower-case letter and a capital letter"
~(([a-z])|(dog)),lines without a lower-case letter or the string 'dog'
"(.*)(([AEIOUaeiou]){2,})",Items terminating withe a vowel at least twice.
\b.*[a-z].*\b,Items with words containing a small letter.
~([A-Z].*[a-z].*),lines that do not contain a lowercase letter preceded by an uppercase letter
(([A-Za-z])|(dog)).*([0-9]).*,Items with 'dog' or a letter preceding a numeral.
((dog)&([A-Za-z])&(.)).*([A-Z]).*,"Items with a character, a letter, and 'dog' preceding an upper case letter."
((.*)([a-z]))&(..*dog.*),lines ending with the string 'dog' before a lower-case letter and a character
~((.)&([A-Z])),lines that do not contain a character or a capital letter
((dog)&([0-9])&([A-Z])).*(.).*,"lines which are having the string 'dog', a number, and a capital letter before a character"
((.)&([A-Z])&(dog)).*([A-Za-z]).*,"lines having a character, capital letter, and 'dog'"
(~([A-Za-z])).*(.*dog.*).*,lines not having a letter before string 'dog'
(([a-z])*)&(([A-Z])|(dog)),"lines with a lower-case letter, zero or more times and capital letter or string 'dog'"
